,Survived,Pclass,Sex,Age,SibSp,Parch,Ravnopravie,Relatives
70,0,2,1,32.0,0,0,0,0
71,0,3,0,16.0,5,2,1,1
72,0,2,1,21.0,0,0,0,0
73,0,3,1,26.0,1,0,0,1
74,1,3,1,32.0,0,0,0,0
75,0,3,1,25.0,0,0,0,0
76,0,3,1,28.0,0,0,0,0
77,0,3,1,28.0,0,0,0,0
78,1,2,1,0.83,0,2,1,1
79,1,3,0,30.0,0,0,1,0
80,0,3,1,22.0,0,0,0,0
81,1,3,1,29.0,0,0,0,0
82,1,3,0,28.0,0,0,1,0
83,0,1,1,28.0,0,0,0,0
84,1,2,0,17.0,0,0,1,0
85,1,3,0,33.0,3,0,1,1
86,0,3,1,16.0,1,3,1,1
87,0,3,1,28.0,0,0,0,0
88,1,1,0,23.0,3,2,1,1
89,0,3,1,24.0,0,0,0,0
90,0,3,1,29.0,0,0,0,0
91,0,3,1,20.0,0,0,0,0
92,0,1,1,46.0,1,0,0,1
93,0,3,1,26.0,1,2,0,1
94,0,3,1,59.0,0,0,0,0
95,0,3,1,28.0,0,0,0,0
96,0,1,1,71.0,0,0,0,0
97,1,1,1,23.0,0,1,0,1
98,1,2,0,34.0,0,1,1,1
99,0,2,1,34.0,1,0,0,1
100,0,3,0,28.0,0,0,1,0
101,0,3,1,28.0,0,0,0,0
102,0,1,1,21.0,0,1,0,1
103,0,3,1,33.0,0,0,0,0
104,0,3,1,37.0,2,0,0,1
105,0,3,1,28.0,0,0,0,0
106,1,3,0,21.0,0,0,1,0
107,1,3,1,28.0,0,0,0,0
108,0,3,1,38.0,0,0,0,0
109,1,3,0,28.0,1,0,1,1
110,0,1,1,47.0,0,0,0,0
111,0,3,0,14.5,1,0,1,1
112,0,3,1,22.0,0,0,0,0
113,0,3,0,20.0,1,0,1,1
114,0,3,0,17.0,0,0,1,0
115,0,3,1,21.0,0,0,0,0
116,0,3,1,70.5,0,0,0,0
117,0,2,1,29.0,1,0,0,1
118,0,1,1,24.0,0,1,0,1
119,0,3,0,2.0,4,2,1,1
120,0,2,1,21.0,2,0,0,1
121,0,3,1,28.0,0,0,0,0
122,0,2,1,32.5,1,0,0,1
123,1,2,0,32.5,0,0,1,0
124,0,1,1,54.0,0,1,0,1
125,1,3,1,12.0,1,0,1,1
126,0,3,1,28.0,0,0,0,0
127,1,3,1,24.0,0,0,0,0
128,1,3,0,28.0,1,1,1,1
129,0,3,1,45.0,0,0,0,0
130,0,3,1,33.0,0,0,0,0
131,0,3,1,20.0,0,0,0,0
132,0,3,0,47.0,1,0,1,1
133,1,2,0,29.0,1,0,1,1
134,0,2,1,25.0,0,0,0,0
135,0,2,1,23.0,0,0,0,0
136,1,1,0,19.0,0,2,1,1
137,0,1,1,37.0,1,0,0,1
138,0,3,1,16.0,0,0,1,0
139,0,1,1,24.0,0,0,0,0
140,0,3,0,28.0,0,2,1,1
141,1,3,0,22.0,0,0,1,0
142,1,3,0,24.0,1,0,1,1
143,0,3,1,19.0,0,0,0,0
144,0,2,1,18.0,0,0,0,0
145,0,2,1,19.0,1,1,0,1
146,1,3,1,27.0,0,0,0,0
147,0,3,0,9.0,2,2,1,1
148,0,2,1,36.5,0,2,0,1
149,0,2,1,42.0,0,0,0,0
150,0,2,1,51.0,0,0,0,0
151,1,1,0,22.0,1,0,1,1
152,0,3,1,55.5,0,0,0,0
153,0,3,1,40.5,0,2,0,1
154,0,3,1,28.0,0,0,0,0
155,0,1,1,51.0,0,1,0,1
156,1,3,0,16.0,0,0,1,0
157,0,3,1,30.0,0,0,0,0
158,0,3,1,28.0,0,0,0,0
159,0,3,1,28.0,8,2,0,1
160,0,3,1,44.0,0,1,0,1
161,1,2,0,40.0,0,0,1,0
162,0,3,1,26.0,0,0,0,0
163,0,3,1,17.0,0,0,0,0
164,0,3,1,1.0,4,1,1,1
165,1,3,1,9.0,0,2,1,1
166,1,1,0,28.0,0,1,1,1
167,0,3,0,45.0,1,4,1,1
168,0,1,1,28.0,0,0,0,0
169,0,3,1,28.0,0,0,0,0
170,0,1,1,61.0,0,0,0,0
171,0,3,1,4.0,4,1,1,1
172,1,3,0,1.0,1,1,1,1
173,0,3,1,21.0,0,0,0,0
174,0,1,1,56.0,0,0,0,0
175,0,3,1,18.0,1,1,0,1
176,0,3,1,28.0,3,1,0,1
177,0,1,0,50.0,0,0,1,0
178,0,2,1,30.0,0,0,0,0
179,0,3,1,36.0,0,0,0,0
180,0,3,0,28.0,8,2,1,1
181,0,2,1,28.0,0,0,0,0
182,0,3,1,9.0,4,2,1,1
183,1,2,1,1.0,2,1,1,1
184,1,3,0,4.0,0,2,1,1
185,0,1,1,28.0,0,0,0,0
186,1,3,0,28.0,1,0,1,1
187,1,1,1,45.0,0,0,0,0
188,0,3,1,40.0,1,1,0,1
189,0,3,1,36.0,0,0,0,0
190,1,2,0,32.0,0,0,1,0
191,0,2,1,19.0,0,0,0,0
192,1,3,0,19.0,1,0,1,1
193,1,2,1,3.0,1,1,1,1
194,1,1,0,44.0,0,0,1,0
195,1,1,0,58.0,0,0,1,0
196,0,3,1,28.0,0,0,0,0
197,0,3,1,42.0,0,1,0,1
198,1,3,0,28.0,0,0,1,0
199,0,2,0,24.0,0,0,1,0
200,0,3,1,28.0,0,0,0,0
201,0,3,1,28.0,8,2,0,1
202,0,3,1,34.0,0,0,0,0
203,0,3,1,45.5,0,0,0,0
204,1,3,1,18.0,0,0,0,0
205,0,3,0,2.0,0,1,1,1
206,0,3,1,32.0,1,0,0,1
207,1,3,1,26.0,0,0,0,0
208,1,3,0,16.0,0,0,1,0
209,1,1,1,40.0,0,0,0,0
210,0,3,1,24.0,0,0,0,0
211,1,2,0,35.0,0,0,1,0
212,0,3,1,22.0,0,0,0,0
213,0,2,1,30.0,0,0,0,0
214,0,3,1,28.0,1,0,0,1
215,1,1,0,31.0,1,0,1,1
216,1,3,0,27.0,0,0,1,0
217,0,2,1,42.0,1,0,0,1
218,1,1,0,32.0,0,0,1,0
219,0,2,1,30.0,0,0,0,0
220,1,3,1,16.0,0,0,1,0
221,0,2,1,27.0,0,0,0,0
222,0,3,1,51.0,0,0,0,0
223,0,3,1,28.0,0,0,0,0
224,1,1,1,38.0,1,0,0,1
225,0,3,1,22.0,0,0,0,0
226,1,2,1,19.0,0,0,0,0
227,0,3,1,20.5,0,0,0,0
228,0,2,1,18.0,0,0,0,0
229,0,3,0,28.0,3,1,1,1
230,1,1,0,35.0,1,0,1,1
231,0,3,1,29.0,0,0,0,0
232,0,2,1,59.0,0,0,0,0
233,1,3,0,5.0,4,2,1,1
234,0,2,1,24.0,0,0,0,0
235,0,3,0,28.0,0,0,1,0
236,0,2,1,44.0,1,0,0,1
237,1,2,0,8.0,0,2,1,1
238,0,2,1,19.0,0,0,0,0
239,0,2,1,33.0,0,0,0,0
240,0,3,0,28.0,1,0,1,1
241,1,3,0,28.0,1,0,1,1
242,0,2,1,29.0,0,0,0,0
243,0,3,1,22.0,0,0,0,0
244,0,3,1,30.0,0,0,0,0
245,0,1,1,44.0,2,0,0,1
246,0,3,0,25.0,0,0,1,0
247,1,2,0,24.0,0,2,1,1
248,1,1,1,37.0,1,1,0,1
249,0,2,1,54.0,1,0,0,1
250,0,3,1,28.0,0,0,0,0
251,0,3,0,29.0,1,1,1,1
252,0,1,1,62.0,0,0,0,0
253,0,3,1,30.0,1,0,0,1
254,0,3,0,41.0,0,2,1,1
255,1,3,0,29.0,0,2,1,1
256,1,1,0,28.0,0,0,1,0
257,1,1,0,30.0,0,0,1,0
258,1,1,0,35.0,0,0,1,0
259,1,2,0,50.0,0,1,1,1
260,0,3,1,28.0,0,0,0,0
261,1,3,1,3.0,4,2,1,1
262,0,1,1,52.0,1,1,0,1
263,0,1,1,40.0,0,0,0,0
264,0,3,0,28.0,0,0,1,0
265,0,2,1,36.0,0,0,0,0
266,0,3,1,16.0,4,1,1,1
267,1,3,1,25.0,1,0,0,1
268,1,1,0,58.0,0,1,1,1
269,1,1,0,35.0,0,0,1,0
270,0,1,1,28.0,0,0,0,0
271,1,3,1,25.0,0,0,0,0
272,1,2,0,41.0,0,1,1,1
273,0,1,1,37.0,0,1,0,1
274,1,3,0,28.0,0,0,1,0
275,1,1,0,63.0,1,0,1,1
276,0,3,0,45.0,0,0,1,0
277,0,2,1,28.0,0,0,0,0
278,0,3,1,7.0,4,1,1,1
279,1,3,0,35.0,1,1,1,1
280,0,3,1,65.0,0,0,0,0
281,0,3,1,28.0,0,0,0,0
282,0,3,1,16.0,0,0,1,0
283,1,3,1,19.0,0,0,0,0
284,0,1,1,28.0,0,0,0,0
285,0,3,1,33.0,0,0,0,0
286,1,3,1,30.0,0,0,0,0
287,0,3,1,22.0,0,0,0,0
288,1,2,1,42.0,0,0,0,0
289,1,3,0,22.0,0,0,1,0
290,1,1,0,26.0,0,0,1,0
291,1,1,0,19.0,1,0,1,1
292,0,2,1,36.0,0,0,0,0
293,0,3,0,24.0,0,0,1,0
294,0,3,1,24.0,0,0,0,0
295,0,1,1,28.0,0,0,0,0
296,0,3,1,23.5,0,0,0,0
297,0,1,0,2.0,1,2,1,1
298,1,1,1,28.0,0,0,0,0
299,1,1,0,50.0,0,1,1,1
300,1,3,0,28.0,0,0,1,0
301,1,3,1,28.0,2,0,0,1
302,0,3,1,19.0,0,0,0,0
303,1,2,0,28.0,0,0,1,0
304,0,3,1,28.0,0,0,0,0
305,1,1,1,0.92,1,2,1,1
306,1,1,0,28.0,0,0,1,0
307,1,1,0,17.0,1,0,1,1
308,0,2,1,30.0,1,0,0,1
309,1,1,0,30.0,0,0,1,0
310,1,1,0,24.0,0,0,1,0
311,1,1,0,18.0,2,2,1,1
312,0,2,0,26.0,1,1,1,1
313,0,3,1,28.0,0,0,0,0
314,0,2,1,43.0,1,1,0,1
315,1,3,0,26.0,0,0,1,0
316,1,2,0,24.0,1,0,1,1
317,0,2,1,54.0,0,0,0,0
318,1,1,0,31.0,0,2,1,1
319,1,1,0,40.0,1,1,1,1
320,0,3,1,22.0,0,0,0,0
321,0,3,1,27.0,0,0,0,0
322,1,2,0,30.0,0,0,1,0
323,1,2,0,22.0,1,1,1,1
324,0,3,1,28.0,8,2,0,1
325,1,1,0,36.0,0,0,1,0
326,0,3,1,61.0,0,0,0,0
327,1,2,0,36.0,0,0,1,0
328,1,3,0,31.0,1,1,1,1
329,1,1,0,16.0,0,1,1,1
330,1,3,0,28.0,2,0,1,1
331,0,1,1,45.5,0,0,0,0
332,0,1,1,38.0,0,1,0,1
333,0,3,1,16.0,2,0,1,1
334,1,1,0,28.0,1,0,1,1
335,0,3,1,28.0,0,0,0,0
336,0,1,1,29.0,1,0,0,1
337,1,1,0,41.0,0,0,1,0
338,1,3,1,45.0,0,0,0,0
339,0,1,1,45.0,0,0,0,0
340,1,2,1,2.0,1,1,1,1
341,1,1,0,24.0,3,2,1,1
342,0,2,1,28.0,0,0,0,0
343,0,2,1,25.0,0,0,0,0
344,0,2,1,36.0,0,0,0,0
345,1,2,0,24.0,0,0,1,0
346,1,2,0,40.0,0,0,1,0
347,1,3,0,28.0,1,0,1,1
348,1,3,1,3.0,1,1,1,1
349,0,3,1,42.0,0,0,0,0
350,0,3,1,23.0,0,0,0,0
351,0,1,1,28.0,0,0,0,0
352,0,3,1,15.0,1,1,1,1
353,0,3,1,25.0,1,0,0,1
354,0,3,1,28.0,0,0,0,0
355,0,3,1,28.0,0,0,0,0
356,1,1,0,22.0,0,1,1,1
357,0,2,0,38.0,0,0,1,0
358,1,3,0,28.0,0,0,1,0
359,1,3,0,28.0,0,0,1,0
360,0,3,1,40.0,1,4,0,1
361,0,2,1,29.0,1,0,0,1
362,0,3,0,45.0,0,1,1,1
363,0,3,1,35.0,0,0,0,0
364,0,3,1,28.0,1,0,0,1
365,0,3,1,30.0,0,0,0,0
366,1,1,0,60.0,1,0,1,1
367,1,3,0,28.0,0,0,1,0
368,1,3,0,28.0,0,0,1,0
369,1,1,0,24.0,0,0,1,0
370,1,1,1,25.0,1,0,0,1
371,0,3,1,18.0,1,0,0,1
372,0,3,1,19.0,0,0,0,0
373,0,1,1,22.0,0,0,0,0
374,0,3,0,3.0,3,1,1,1
375,1,1,0,28.0,1,0,1,1
376,1,3,0,22.0,0,0,1,0
377,0,1,1,27.0,0,2,0,1
378,0,3,1,20.0,0,0,0,0
379,0,3,1,19.0,0,0,0,0
380,1,1,0,42.0,0,0,1,0
381,1,3,0,1.0,0,2,1,1
382,0,3,1,32.0,0,0,0,0
383,1,1,0,35.0,1,0,1,1
384,0,3,1,28.0,0,0,0,0
385,0,2,1,18.0,0,0,0,0
386,0,3,1,1.0,5,2,1,1
387,1,2,0,36.0,0,0,1,0
388,0,3,1,28.0,0,0,0,0
389,1,2,0,17.0,0,0,1,0
390,1,1,1,36.0,1,2,0,1
391,1,3,1,21.0,0,0,0,0
392,0,3,1,28.0,2,0,0,1
393,1,1,0,23.0,1,0,1,1
394,1,3,0,24.0,0,2,1,1
395,0,3,1,22.0,0,0,0,0
396,0,3,0,31.0,0,0,1,0
397,0,2,1,46.0,0,0,0,0
398,0,2,1,23.0,0,0,0,0
399,1,2,0,28.0,0,0,1,0
400,1,3,1,39.0,0,0,0,0
401,0,3,1,26.0,0,0,0,0
402,0,3,0,21.0,1,0,1,1
403,0,3,1,28.0,1,0,0,1
404,0,3,0,20.0,0,0,1,0
405,0,2,1,34.0,1,0,0,1
406,0,3,1,51.0,0,0,0,0
407,1,2,1,3.0,1,1,1,1
408,0,3,1,21.0,0,0,0,0
409,0,3,0,28.0,3,1,1,1
410,0,3,1,28.0,0,0,0,0
411,0,3,1,28.0,0,0,0,0
412,1,1,0,33.0,1,0,1,1
413,0,2,1,28.0,0,0,0,0
414,1,3,1,44.0,0,0,0,0
415,0,3,0,28.0,0,0,1,0
416,1,2,0,34.0,1,1,1,1
417,1,2,0,18.0,0,2,1,1
418,0,2,1,30.0,0,0,0,0
419,0,3,0,10.0,0,2,1,1
420,0,3,1,28.0,0,0,0,0
421,0,3,1,21.0,0,0,0,0
422,0,3,1,29.0,0,0,0,0
423,0,3,0,28.0,1,1,1,1
424,0,3,1,18.0,1,1,0,1
425,0,3,1,28.0,0,0,0,0
426,1,2,0,28.0,1,0,1,1
427,1,2,0,19.0,0,0,1,0
428,0,3,1,28.0,0,0,0,0
429,1,3,1,32.0,0,0,0,0
430,1,1,1,28.0,0,0,0,0
431,1,3,0,28.0,1,0,1,1
432,1,2,0,42.0,1,0,1,1
433,0,3,1,17.0,0,0,0,0
434,0,1,1,50.0,1,0,0,1
435,1,1,0,14.0,1,2,1,1
436,0,3,0,21.0,2,2,1,1
437,1,2,0,24.0,2,3,1,1
438,0,1,1,64.0,1,4,0,1
439,0,2,1,31.0,0,0,0,0
440,1,2,0,45.0,1,1,1,1
441,0,3,1,20.0,0,0,0,0
442,0,3,1,25.0,1,0,0,1
443,1,2,0,28.0,0,0,1,0
444,1,3,1,28.0,0,0,0,0
445,1,1,1,4.0,0,2,1,1
446,1,2,0,13.0,0,1,1,1
447,1,1,1,34.0,0,0,0,0
448,1,3,0,5.0,2,1,1,1
449,1,1,1,52.0,0,0,0,0
450,0,2,1,36.0,1,2,0,1
451,0,3,1,28.0,1,0,0,1
452,0,1,1,30.0,0,0,0,0
453,1,1,1,49.0,1,0,0,1
454,0,3,1,28.0,0,0,0,0
455,1,3,1,29.0,0,0,0,0
456,0,1,1,65.0,0,0,0,0
457,1,1,0,28.0,1,0,1,1
458,1,2,0,50.0,0,0,1,0
459,0,3,1,28.0,0,0,0,0
460,1,1,1,48.0,0,0,0,0
461,0,3,1,34.0,0,0,0,0
462,0,1,1,47.0,0,0,0,0
463,0,2,1,48.0,0,0,0,0
464,0,3,1,28.0,0,0,0,0
465,0,3,1,38.0,0,0,0,0
466,0,2,1,28.0,0,0,0,0
467,0,1,1,56.0,0,0,0,0
468,0,3,1,28.0,0,0,0,0
469,1,3,0,0.75,2,1,1,1
470,0,3,1,28.0,0,0,0,0
471,0,3,1,38.0,0,0,0,0
472,1,2,0,33.0,1,2,1,1
473,1,2,0,23.0,0,0,1,0
474,0,3,0,22.0,0,0,1,0
475,0,1,1,28.0,0,0,0,0
476,0,2,1,34.0,1,0,0,1
477,0,3,1,29.0,1,0,0,1
478,0,3,1,22.0,0,0,0,0
479,1,3,0,2.0,0,1,1,1
480,0,3,1,9.0,5,2,1,1
481,0,2,1,28.0,0,0,0,0
482,0,3,1,50.0,0,0,0,0
483,1,3,0,63.0,0,0,1,0
484,1,1,1,25.0,1,0,0,1
485,0,3,0,28.0,3,1,1,1
486,1,1,0,35.0,1,0,1,1
487,0,1,1,58.0,0,0,0,0
488,0,3,1,30.0,0,0,0,0
489,1,3,1,9.0,1,1,1,1
490,0,3,1,28.0,1,0,0,1
491,0,3,1,21.0,0,0,0,0
492,0,1,1,55.0,0,0,0,0
493,0,1,1,71.0,0,0,0,0
494,0,3,1,21.0,0,0,0,0
495,0,3,1,28.0,0,0,0,0
496,1,1,0,54.0,1,0,1,1
497,0,3,1,28.0,0,0,0,0
498,0,1,0,25.0,1,2,1,1
499,0,3,1,24.0,0,0,0,0
500,0,3,1,17.0,0,0,0,0
501,0,3,0,21.0,0,0,1,0
502,0,3,0,28.0,0,0,1,0
503,0,3,0,37.0,0,0,1,0
504,1,1,0,16.0,0,0,1,0
505,0,1,1,18.0,1,0,0,1
506,1,2,0,33.0,0,2,1,1
507,1,1,1,28.0,0,0,0,0
508,0,3,1,28.0,0,0,0,0
509,1,3,1,26.0,0,0,0,0
510,1,3,1,29.0,0,0,0,0
511,0,3,1,28.0,0,0,0,0
512,1,1,1,36.0,0,0,0,0
513,1,1,0,54.0,1,0,1,1
514,0,3,1,24.0,0,0,0,0
515,0,1,1,47.0,0,0,0,0
516,1,2,0,34.0,0,0,1,0
517,0,3,1,28.0,0,0,0,0
518,1,2,0,36.0,1,0,1,1
519,0,3,1,32.0,0,0,0,0
520,1,1,0,30.0,0,0,1,0
521,0,3,1,22.0,0,0,0,0
522,0,3,1,28.0,0,0,0,0
523,1,1,0,44.0,0,1,1,1
524,0,3,1,28.0,0,0,0,0
525,0,3,1,40.5,0,0,0,0
526,1,2,0,50.0,0,0,1,0
527,0,1,1,28.0,0,0,0,0
528,0,3,1,39.0,0,0,0,0
529,0,2,1,23.0,2,1,0,1
530,1,2,0,2.0,1,1,1,1
531,0,3,1,28.0,0,0,0,0
532,0,3,1,17.0,1,1,0,1
533,1,3,0,28.0,0,2,1,1
534,0,3,0,30.0,0,0,1,0
535,1,2,0,7.0,0,2,1,1
536,0,1,1,45.0,0,0,0,0
537,1,1,0,30.0,0,0,1,0
538,0,3,1,28.0,0,0,0,0
539,1,1,0,22.0,0,2,1,1
540,1,1,0,36.0,0,2,1,1
541,0,3,0,9.0,4,2,1,1
542,0,3,0,11.0,4,2,1,1
543,1,2,1,32.0,1,0,0,1
544,0,1,1,50.0,1,0,0,1
545,0,1,1,64.0,0,0,0,0
546,1,2,0,19.0,1,0,1,1
547,1,2,1,28.0,0,0,0,0
548,0,3,1,33.0,1,1,0,1
549,1,2,1,8.0,1,1,1,1
550,1,1,1,17.0,0,2,0,1
551,0,2,1,27.0,0,0,0,0
552,0,3,1,28.0,0,0,0,0
553,1,3,1,22.0,0,0,0,0
554,1,3,0,22.0,0,0,1,0
555,0,1,1,62.0,0,0,0,0
556,1,1,0,48.0,1,0,1,1
557,0,1,1,28.0,0,0,0,0
558,1,1,0,39.0,1,1,1,1
559,1,3,0,36.0,1,0,1,1
560,0,3,1,28.0,0,0,0,0
561,0,3,1,40.0,0,0,0,0
562,0,2,1,28.0,0,0,0,0
563,0,3,1,28.0,0,0,0,0
564,0,3,0,28.0,0,0,1,0
565,0,3,1,24.0,2,0,0,1
566,0,3,1,19.0,0,0,0,0
567,0,3,0,29.0,0,4,1,1
568,0,3,1,28.0,0,0,0,0
569,1,3,1,32.0,0,0,0,0
570,1,2,1,62.0,0,0,0,0
571,1,1,0,53.0,2,0,1,1
572,1,1,1,36.0,0,0,0,0
573,1,3,0,28.0,0,0,1,0
574,0,3,1,16.0,0,0,1,0
575,0,3,1,19.0,0,0,0,0
576,1,2,0,34.0,0,0,1,0
577,1,1,0,39.0,1,0,1,1
578,0,3,0,28.0,1,0,1,1
579,1,3,1,32.0,0,0,0,0
580,1,2,0,25.0,1,1,1,1
581,1,1,0,39.0,1,1,1,1
582,0,2,1,54.0,0,0,0,0
583,0,1,1,36.0,0,0,0,0
584,0,3,1,28.0,0,0,0,0
585,1,1,0,18.0,0,2,1,1
586,0,2,1,47.0,0,0,0,0
587,1,1,1,60.0,1,1,0,1
588,0,3,1,22.0,0,0,0,0
589,0,3,1,28.0,0,0,0,0
590,0,3,1,35.0,0,0,0,0
591,1,1,0,52.0,1,0,1,1
592,0,3,1,47.0,0,0,0,0
593,0,3,0,28.0,0,2,1,1
594,0,2,1,37.0,1,0,0,1
595,0,3,1,36.0,1,1,0,1
596,1,2,0,28.0,0,0,1,0
597,0,3,1,49.0,0,0,0,0
598,0,3,1,28.0,0,0,0,0
599,1,1,1,49.0,1,0,0,1
600,1,2,0,24.0,2,1,1,1
601,0,3,1,28.0,0,0,0,0
602,0,1,1,28.0,0,0,0,0
603,0,3,1,44.0,0,0,0,0
604,1,1,1,35.0,0,0,0,0
605,0,3,1,36.0,1,0,0,1
606,0,3,1,30.0,0,0,0,0
607,1,1,1,27.0,0,0,0,0
608,1,2,0,22.0,1,2,1,1
609,1,1,0,40.0,0,0,1,0
610,0,3,0,39.0,1,5,1,1
611,0,3,1,28.0,0,0,0,0
612,1,3,0,28.0,1,0,1,1
613,0,3,1,28.0,0,0,0,0
614,0,3,1,35.0,0,0,0,0
615,1,2,0,24.0,1,2,1,1
616,0,3,1,34.0,1,1,0,1
617,0,3,0,26.0,1,0,1,1
618,1,2,0,4.0,2,1,1,1
619,0,2,1,26.0,0,0,0,0
620,0,3,1,27.0,1,0,0,1
621,1,1,1,42.0,1,0,0,1
622,1,3,1,20.0,1,1,0,1
623,0,3,1,21.0,0,0,0,0
624,0,3,1,21.0,0,0,0,0
625,0,1,1,61.0,0,0,0,0
626,0,2,1,57.0,0,0,0,0
627,1,1,0,21.0,0,0,1,0
628,0,3,1,26.0,0,0,0,0
629,0,3,1,28.0,0,0,0,0
630,1,1,1,80.0,0,0,0,0
631,0,3,1,51.0,0,0,0,0
632,1,1,1,32.0,0,0,0,0
633,0,1,1,28.0,0,0,0,0
634,0,3,0,9.0,3,2,1,1
635,1,2,0,28.0,0,0,1,0
636,0,3,1,32.0,0,0,0,0
637,0,2,1,31.0,1,1,0,1
638,0,3,0,41.0,0,5,1,1
639,0,3,1,28.0,1,0,0,1
640,0,3,1,20.0,0,0,0,0
641,1,1,0,24.0,0,0,1,0
642,0,3,0,2.0,3,2,1,1
643,1,3,1,28.0,0,0,0,0
644,1,3,0,0.75,2,1,1,1
645,1,1,1,48.0,1,0,0,1
646,0,3,1,19.0,0,0,0,0
647,1,1,1,56.0,0,0,0,0
648,0,3,1,28.0,0,0,0,0
649,1,3,0,23.0,0,0,1,0
650,0,3,1,28.0,0,0,0,0
651,1,2,0,18.0,0,1,1,1
652,0,3,1,21.0,0,0,0,0
653,1,3,0,28.0,0,0,1,0
654,0,3,0,18.0,0,0,1,0
655,0,2,1,24.0,2,0,0,1
656,0,3,1,28.0,0,0,0,0
657,0,3,0,32.0,1,1,1,1
658,0,2,1,23.0,0,0,0,0
659,0,1,1,58.0,0,2,0,1
660,1,1,1,50.0,2,0,0,1
661,0,3,1,40.0,0,0,0,0
662,0,1,1,47.0,0,0,0,0
663,0,3,1,36.0,0,0,0,0
664,1,3,1,20.0,1,0,0,1
665,0,2,1,32.0,2,0,0,1
666,0,2,1,25.0,0,0,0,0
667,0,3,1,28.0,0,0,0,0
668,0,3,1,43.0,0,0,0,0
669,1,1,0,28.0,1,0,1,1
670,1,2,0,40.0,1,1,1,1
671,0,1,1,31.0,1,0,0,1
672,0,2,1,70.0,0,0,0,0
673,1,2,1,31.0,0,0,0,0
674,0,2,1,28.0,0,0,0,0
675,0,3,1,18.0,0,0,0,0
676,0,3,1,24.5,0,0,0,0
677,1,3,0,18.0,0,0,1,0
678,0,3,0,43.0,1,6,1,1
679,1,1,1,36.0,0,1,0,1
680,0,3,0,28.0,0,0,1,0
681,1,1,1,27.0,0,0,0,0
682,0,3,1,20.0,0,0,0,0
683,0,3,1,14.0,5,2,1,1
684,0,2,1,60.0,1,1,0,1
685,0,2,1,25.0,1,2,0,1
686,0,3,1,14.0,4,1,1,1
687,0,3,1,19.0,0,0,0,0
688,0,3,1,18.0,0,0,0,0
689,1,1,0,15.0,0,1,1,1
690,1,1,1,31.0,1,0,0,1
691,1,3,0,4.0,0,1,1,1
692,1,3,1,28.0,0,0,0,0
693,0,3,1,25.0,0,0,0,0
694,0,1,1,60.0,0,0,0,0
695,0,2,1,52.0,0,0,0,0
